City,Latitude,Longitude
London,51.5074,-0.1278
Paris,48.8566,2.3522
Berlin,52.52,13.4050
Rome,41.9028,12.4964
Madrid,40.4168,-3.7038
Vienna,48.2082,16.3738
Prague,50.0755,14.4378
Amsterdam,52.3676,4.9041
Brussels,50.8503,4.3517
Lisbon,38.7169,-9.1399
Oslo,59.9139,10.7522
Copenhagen,55.6761,12.5683
Stockholm,59.3293,18.0686
Helsinki,60.1695,24.9354
Athens,37.9838,23.7275
Dublin,53.3498,-6.2603
Warsaw,52.2297,21.0122
Budapest,47.4979,19.0402
Zagreb,45.8150,15.9819
Ljubljana,46.0569,14.5058
Sarajevo,43.8563,18.4131
Belgrade,44.7866,20.4489
Sofia,42.6977,23.3219
Skopje,41.9981,21.4254
Podgorica,42.4304,19.2594
Tirana,41.3275,19.8189
Pristina,42.6629,21.1655
Bucharest,44.4268,26.1025
Chisinau,47.0105,28.8638
Kiev,50.4501,30.5234
Minsk,53.9006,27.5590
Tallinn,59.4370,24.7536
Riga,56.9496,24.1052
Vilnius,54.6872,25.2797
Luxembourg,49.6117,6.1319
Monaco,43.7384,7.4246
San Marino,43.9333,12.4500
Andorra la Vella,42.5078,1.5211
Valletta,35.8997,14.5146
Reykjavik,64.1355,-21.8954
Bern,46.9481,7.4474
Vaduz,47.1416,9.5215
Bratislava,48.1486,17.1077
Chur,46.8508,9.5310
Innsbruck,47.2692,11.4041
Graz,47.0707,15.4395
Salzburg,47.8095,13.0550
Bregenz,47.5031,9.7471
Klagenfurt,46.6249,14.3050
Linz,48.3069,14.2858
